#1
double	presence(8760,2)
5457600	1.0
5461200	1.0
5464800	0.862
5468400	0.621
5472000	0.483
5475600	0.172
5479200	0.207
5482800	0.172
5486400	0.345
5490000	0.517
5493600	0.345
5497200	0.379
5500800	0.345
5504400	0.448
5508000	0.483
5511600	0.69
5515200	0.862
5518800	0.862
5522400	1.0
5526000	1.0
5529600	1.0
5533200	1.0
5536800	1.0
5540400	1.0
5544000	1.0
5547600	1.0
5551200	0.862
5554800	0.621
5558400	0.483
5562000	0.172
5565600	0.207
5569200	0.172
5572800	0.345
5576400	0.517
5580000	0.345
5583600	0.379
5587200	0.345
5590800	0.448
5594400	0.483
5598000	0.69
5601600	0.862
5605200	0.862
5608800	1.0
5612400	1.0
5616000	0.996
5619600	0.996
5623200	0.996
5626800	1.0
5630400	1.0
5634000	0.996
5637600	0.822
5641200	0.724
5644800	0.655
5648400	0.552
5652000	0.448
5655600	0.31
5659200	0.586
5662800	0.655
5666400	0.552
5670000	0.483
5673600	0.448
5677200	0.483
5680800	0.517
5684400	0.69
5688000	0.759
5691600	0.793
5695200	0.793
5698800	0.966
5702400	0.996
5706000	0.996
5709600	1.0
5713200	1.0
5716800	1.0
5720400	0.996
5724000	0.822
5727600	0.724
5731200	0.655
5734800	0.552
5738400	0.448
5742000	0.31
5745600	0.586
5749200	0.655
5752800	0.552
5756400	0.483
5760000	0.448
5763600	0.483
5767200	0.517
5770800	0.69
5774400	0.759
5778000	0.793
5781600	0.793
5785200	0.966
5788800	1.0
5792400	1.0
5796000	1.0
5799600	1.0
5803200	1.0
5806800	1.0
5810400	0.862
5814000	0.621
5817600	0.483
5821200	0.172
5824800	0.207
5828400	0.172
5832000	0.345
5835600	0.517
5839200	0.345
5842800	0.379
5846400	0.345
5850000	0.448
5853600	0.483
5857200	0.69
5860800	0.862
5864400	0.862
5868000	1.0
5871600	1.0
5875200	1.0
5878800	1.0
5882400	1.0
5886000	1.0
5889600	1.0
5893200	1.0
5896800	0.862
5900400	0.621
5904000	0.483
5907600	0.172
5911200	0.207
5914800	0.172
5918400	0.345
5922000	0.517
5925600	0.345
5929200	0.379
5932800	0.345
5936400	0.448
5940000	0.483
5943600	0.69
5947200	0.862
5950800	0.862
5954400	1.0
5958000	1.0
5961600	1.0
5965200	1.0
5968800	1.0
5972400	1.0
5976000	1.0
5979600	1.0
5983200	0.862
5986800	0.621
5990400	0.483
5994000	0.172
5997600	0.207
6001200	0.172
6004800	0.345
6008400	0.517
6012000	0.345
6015600	0.379
6019200	0.345
6022800	0.448
6026400	0.483
6030000	0.69
6033600	0.862
6037200	0.862
